episode,total_reward,avg_reward_100,epsilon,episode_length,collisions
1,-31.298846994415733,-31.298846994415733,0.9994773333333333,21,1
2,-794.4081322401587,-412.8534896172872,0.9901216,379,34
3,-1503.4299068933567,-776.3789620426437,0.9869594666666667,500,20
4,-1063.6951299668583,-848.2080040236974,0.9869594666666667,500,39
5,-981.2534173259077,-874.8170866841394,0.9864106666666667,500,38
6,-1420.408955290056,-965.7490647851255,0.9770549333333334,500,34
7,-684.5175360672613,-925.5731321111449,0.9738928,500,28
8,-1102.9744850879058,-947.74830123324,0.9738928,500,37
9,-1347.213591927715,-992.1333335326261,0.973344,500,16
10,-853.1329051779072,-978.2332906971542,0.9639882666666667,500,14
11,-1122.0857720723345,-991.3107890039887,0.9608261333333333,500,38
12,-1632.0923679535674,-1044.7092539164537,0.9608261333333333,500,35
13,-203.48959255464146,-980.0000491963142,0.9605648,131,18
14,-2065.4268843474974,-1057.5305374213988,0.9602773333333333,500,28
15,-954.4335055339766,-1050.6574019622374,0.9477594666666667,500,34
16,-880.8908463832527,-1040.0469922385507,0.9477594666666667,500,32
17,-1194.4007812724121,-1049.1266268876013,0.9474981333333333,500,33
18,-1676.5428120319984,-1083.9830816178458,0.9472106666666666,500,30
19,-1.410334133911082,-1027.0055685923755,0.9468709333333334,13,0
20,-600.4748204182131,-1005.6790311836673,0.9392138666666666,327,20
21,-605.8862033025595,-986.6412774750431,0.9346928,500,26
22,-1883.5714404961914,-1027.4108303396408,0.9344314666666667,500,45
23,-1289.423534339107,-1038.8026870352699,0.9338042666666667,500,31
24,-180.94322183803598,-1003.0585426520516,0.9303024,158,5
25,-889.8318253110986,-998.5294739584136,0.9301194666666667,348,35
26,-15.273786627642252,-960.7119475226148,0.9292570666666666,40,0
27,-61.66137528938843,-927.4137781806435,0.9277674666666667,90,0
28,-581.5655799327765,-915.0620568146481,0.9256506666666666,312,23
29,45.25031238196907,-881.9478371871786,0.9245530666666667,42,0
30,-1808.9392728409457,-912.8475517089709,0.9216261333333333,500,92
31,-716.1820726419193,-906.5035039971306,0.9161904,500,31
32,-1054.7400830894287,-911.1358970937647,0.9147008,500,25
33,-446.83368467190354,-897.066133080981,0.9114864,500,19
34,-1707.8771634098287,-920.9135163259472,0.9085594666666666,500,78
35,-1096.1043299039347,-925.918968142461,0.9031237333333333,500,49
36,-19.12,-900.7301079162816,0.9030714666666667,2,0
37,-930.7684655792032,-901.5419554206849,0.9016341333333333,500,56
38,-13.814320376686506,-878.1807018668954,0.9014773333333334,6,1
39,-810.822625211543,-876.4535716962454,0.8984197333333334,500,39
40,-944.8667543913396,-878.1639012636227,0.8954928,500,13
41,-3.4052428328123945,-856.828324228725,0.8946565333333334,32,0
42,-121.56653805913977,-839.3220912246873,0.89024,169,0
43,-1286.9974893022652,-849.7331469939332,0.8900048,500,15
44,-1657.303874679808,-868.0870271686122,0.8884106666666667,500,40
45,-6.835737900679131,-848.9481096293247,0.8870778666666667,51,2
46,-1406.4423625705824,-861.0675499106563,0.8853530666666667,500,36
47,4.879171466524287,-842.6431515834822,0.8840202666666667,117,2
48,-517.0457667775206,-835.8598727333582,0.8771733333333334,500,17
49,-24.832290095800495,-819.3082894142243,0.8770165333333333,6,1
50,-1190.7133913021821,-826.7363914519835,0.8769381333333334,500,38
51,-27.05943153476771,-811.0564510614499,0.8758405333333333,45,3
